1114, 248, 3, 0
1064, 192, 3, 0
1038, 224, 3, 0
1178, 249, 3, 0
1170, 248, 3, 0
1104, 66, 3, 0
1081, 72, 3, 0
1050, 145, 3, 0
1103, 148, 3, 0
1103, 120, 3, 0
1073, 137, 3, 0
1038, 97, 3, 0
1001, 62, 3, 0
1031, 32, 3, 0
1003, 57, 3, 0
1180, 108, 2, 0
1102.8, 147.6, 3, 1
1072.8, 136.8, 3, 2
1171.2, 247.2, 3, 1
1161.6, 265.2, 3, 1
1039.2, 223.2, 3, 1
1107.6, 248.4, 3, 1
1064.4, 192, 3, 1
1098, 72, 3, 1
1093.2, 84, 3, 1
1051.2, 147.6, 3, 1
1038, 97.2, 3, 1
1002, 62.4, 3, 1
1030.8, 36, 3, 1
1003.2, 57.6, 3, 1
1180.8, 108, 2, 1
1000.8, 61.92, 2, 2
1179.36, 108, 2, 2
1072.8, 136.8, 2, 2
1080, 72, 2, 2
1038.24, 223.2, 2, 2
1160.64, 266.4, 2, 2
1170.72, 247.68, 2, 2
1062.72, 192.96, 2, 2
1000.51, 62.208, 2, 3
1093.82, 138.24, 2, 3
1102.46, 65.664, 2, 3
1038.53, 222.912, 2, 3
1169.86, 247.104, 2, 3
1062.72, 224.64, 2, 3
1049.24, 145.152, 2, 4
1080.35, 70.5024, 2, 4
1038.87, 221.875, 2, 4
1171.58, 246.758, 2, 4
1061.68, 192.845, 2, 4
1000.3, 62.208, 2, 5
1050.07, 146.811, 2, 5
1040.12, 223.949, 2, 5
1172, 248.832, 2, 5
1062.51, 194.089, 2, 5
1000.3, 59.7197, 2, 6
1164.53, 253.809, 2, 6
1042.11, 220.963, 2, 6
1039.12, 193.492, 2, 7
917.294, 68.0805, 2, 7
999.708, 68.0805, 2, 7
920.878, 143.327, 2, 7
992.541, 146.91, 2, 7
759.635, 186.325, 2, 7
838.464, 225.74, 2, 7
698.72, 200.658, 2, 7
623.474, 257.989, 2, 7
759.635, 118.245, 2, 7
824.132, 111.079, 2, 7
806.216, 121.828, 2, 7
856.38, 136.161, 2, 7
662.889, 107.495, 2, 7
745.302, 96.7459, 2, 7
637.806, 121.828, 2, 7
745.302, 125.411, 2, 7
476.563, 197.075, 2, 7
562.56, 204.241, 2, 7
476.563, 275.905, 2, 7
558.976, 290.238, 2, 7
372.651, 218.574, 2, 7
440.731, 204.241, 2, 7
340.402, 257.989, 2, 7
422.815, 297.404, 2, 7
501.645, 71.6636, 2, 7
605.558, 75.2468, 2, 7
487.313, 139.744, 2, 7
569.726, 164.826, 2, 7
458.647, 111.079, 2, 7
343.985, 150.494, 2, 7
408.483, 157.66, 2, 7
211.408, 229.324, 2, 7
315.32, 236.49, 2, 7
222.157, 286.655, 2, 7
118.245, 243.656, 2, 7
193.492, 247.24, 2, 7
96.7459, 254.406, 2, 7
272.322, 103.912, 2, 7
240.073, 161.243, 2, 7
308.154, 128.995, 2, 7
68.0805, 78.83, 2, 7
161.243, 85.9964, 2, 7
189.909, 121.828, 2, 7
297.404, 279.488, 3, 7
315.32, 279.488, 3, 7
286.655, 297.404, 3, 7
308.154, 290.238, 3, 7
211.408, 85.9964, 3, 7
232.907, 85.9964, 3, 7
204.241, 103.912, 3, 7
236.49, 96.7459, 3, 7
612.724, 193.492, 3, 7
673.638, 214.991, 3, 7
637.806, 222.157, 3, 7
677.221, 222.157, 3, 7
154.077, 257.989, 3, 7
189.909, 257.989, 3, 7
146.91, 293.821, 3, 7
179.159, 286.655, 3, 7
925.655, 59.7197, 2, 6
922.669, 143.327, 2, 6
976.417, 155.271, 2, 6
764.412, 188.117, 2, 6
839.062, 226.935, 2, 6
701.706, 203.047, 2, 6
615.113, 259.781, 2, 6
827.118, 110.481, 2, 6
761.426, 116.453, 2, 6
665.875, 107.495, 2, 6
749.482, 92.5655, 2, 6
639.001, 122.425, 2, 6
